actor_id,first_name,last_name,last_update
1,PENELOPE,GUINESS,2020-12-23 07:12:29
2,NICK,WAHLBERG,2020-12-23 07:12:29
3,ED,CHASE,2020-12-23 07:12:29
4,JENNIFER,DAVIS,2020-12-23 07:12:29
5,JOHNNY,LOLLOBRIGIDA,2020-12-23 07:12:29
6,BETTE,NICHOLSON,2020-12-23 07:12:29
7,GRACE,MOSTEL,2020-12-23 07:12:29
8,MATTHEW,JOHANSSON,2020-12-23 07:12:29
9,JOE,SWANK,2020-12-23 07:12:29
10,CHRISTIAN,GABLE,2020-12-23 07:12:29
11,ZERO,CAGE,2020-12-23 07:12:29
12,KARL,BERRY,2020-12-23 07:12:29
13,UMA,WOOD,2020-12-23 07:12:29
14,VIVIEN,BERGEN,2020-12-23 07:12:29
15,CUBA,OLIVIER,2020-12-23 07:12:29
16,FRED,COSTNER,2020-12-23 07:12:29
17,HELEN,VOIGHT,2020-12-23 07:12:29
18,DAN,TORN,2020-12-23 07:12:29
19,BOB,FAWCETT,2020-12-23 07:12:29
20,LUCILLE,TRACY,2020-12-23 07:12:29
21,KIRSTEN,PALTROW,2020-12-23 07:12:29
22,ELVIS,MARX,2020-12-23 07:12:29
23,SANDRA,KILMER,2020-12-23 07:12:29
24,CAMERON,STREEP,2020-12-23 07:12:29
25,KEVIN,BLOOM,2020-12-23 07:12:29
26,RIP,CRAWFORD,2020-12-23 07:12:29
27,JULIA,MCQUEEN,2020-12-23 07:12:29
28,WOODY,HOFFMAN,2020-12-23 07:12:29
29,ALEC,WAYNE,2020-12-23 07:12:29
30,SANDRA,PECK,2020-12-23 07:12:29
31,SISSY,SOBIESKI,2020-12-23 07:12:29
32,TIM,HACKMAN,2020-12-23 07:12:29
33,MILLA,PECK,2020-12-23 07:12:29
34,AUDREY,OLIVIER,2020-12-23 07:12:29
35,JUDY,DEAN,2020-12-23 07:12:29
36,BURT,DUKAKIS,2020-12-23 07:12:29
37,VAL,BOLGER,2020-12-23 07:12:29
38,TOM,MCKELLEN,2020-12-23 07:12:29
39,GOLDIE,BRODY,2020-12-23 07:12:29
40,JOHNNY,CAGE,2020-12-23 07:12:29
41,JODIE,DEGENERES,2020-12-23 07:12:29
42,TOM,MIRANDA,2020-12-23 07:12:29
43,KIRK,JOVOVICH,2020-12-23 07:12:29
44,NICK,STALLONE,2020-12-23 07:12:29
45,REESE,KILMER,2020-12-23 07:12:29
46,PARKER,GOLDBERG,2020-12-23 07:12:29
47,JULIA,BARRYMORE,2020-12-23 07:12:29
48,FRANCES,DAY-LEWIS,2020-12-23 07:12:29
49,ANNE,CRONYN,2020-12-23 07:12:29
50,NATALIE,HOPKINS,2020-12-23 07:12:29
51,GARY,PHOENIX,2020-12-23 07:12:29
52,CARMEN,HUNT,2020-12-23 07:12:29
53,MENA,TEMPLE,2020-12-23 07:12:29
54,PENELOPE,PINKETT,2020-12-23 07:12:29
55,FAY,KILMER,2020-12-23 07:12:29
56,DAN,HARRIS,2020-12-23 07:12:29
57,JUDE,CRUISE,2020-12-23 07:12:29
58,CHRISTIAN,AKROYD,2020-12-23 07:12:29
59,DUSTIN,TAUTOU,2020-12-23 07:12:29
60,HENRY,BERRY,2020-12-23 07:12:29
61,CHRISTIAN,NEESON,2020-12-23 07:12:29
62,JAYNE,NEESON,2020-12-23 07:12:29
63,CAMERON,WRAY,2020-12-23 07:12:29
64,RAY,JOHANSSON,2020-12-23 07:12:29
65,ANGELA,HUDSON,2020-12-23 07:12:29
66,MARY,TANDY,2020-12-23 07:12:29
67,JESSICA,BAILEY,2020-12-23 07:12:29
68,RIP,WINSLET,2020-12-23 07:12:29
69,KENNETH,PALTROW,2020-12-23 07:12:29
70,MICHELLE,MCCONAUGHEY,2020-12-23 07:12:29
71,ADAM,GRANT,2020-12-23 07:12:29
72,SEAN,WILLIAMS,2020-12-23 07:12:29
73,GARY,PENN,2020-12-23 07:12:29
74,MILLA,KEITEL,2020-12-23 07:12:29
75,BURT,POSEY,2020-12-23 07:12:29
76,ANGELINA,ASTAIRE,2020-12-23 07:12:29
77,CARY,MCCONAUGHEY,2020-12-23 07:12:30
78,GROUCHO,SINATRA,2020-12-23 07:12:30
79,MAE,HOFFMAN,2020-12-23 07:12:30
80,RALPH,CRUZ,2020-12-23 07:12:30
81,SCARLETT,DAMON,2020-12-23 07:12:30
82,WOODY,JOLIE,2020-12-23 07:12:30
83,BEN,WILLIS,2020-12-23 07:12:30
84,JAMES,PITT,2020-12-23 07:12:30
85,MINNIE,ZELLWEGER,2020-12-23 07:12:30
86,GREG,CHAPLIN,2020-12-23 07:12:30
87,SPENCER,PECK,2020-12-23 07:12:30
88,KENNETH,PESCI,2020-12-23 07:12:30
89,CHARLIZE,DENCH,2020-12-23 07:12:30
90,SEAN,GUINESS,2020-12-23 07:12:30
91,CHRISTOPHER,BERRY,2020-12-23 07:12:30
92,KIRSTEN,AKROYD,2020-12-23 07:12:30
93,ELLEN,PRESLEY,2020-12-23 07:12:30
94,KENNETH,TORN,2020-12-23 07:12:30
95,DARYL,WAHLBERG,2020-12-23 07:12:30
96,GENE,WILLIS,2020-12-23 07:12:30
97,MEG,HAWKE,2020-12-23 07:12:30
98,CHRIS,BRIDGES,2020-12-23 07:12:30
99,JIM,MOSTEL,2020-12-23 07:12:30
100,SPENCER,DEPP,2020-12-23 07:12:30
101,SUSAN,DAVIS,2020-12-23 07:12:30
102,WALTER,TORN,2020-12-23 07:12:30
103,MATTHEW,LEIGH,2020-12-23 07:12:30
104,PENELOPE,CRONYN,2020-12-23 07:12:30
105,SIDNEY,CROWE,2020-12-23 07:12:30
106,GROUCHO,DUNST,2020-12-23 07:12:30
107,GINA,DEGENERES,2020-12-23 07:12:30
108,WARREN,NOLTE,2020-12-23 07:12:30
109,SYLVESTER,DERN,2020-12-23 07:12:30
110,SUSAN,DAVIS,2020-12-23 07:12:30
111,CAMERON,ZELLWEGER,2020-12-23 07:12:30
112,RUSSELL,BACALL,2020-12-23 07:12:30
113,MORGAN,HOPKINS,2020-12-23 07:12:30
114,MORGAN,MCDORMAND,2020-12-23 07:12:30
115,HARRISON,BALE,2020-12-23 07:12:30
116,DAN,STREEP,2020-12-23 07:12:30
117,RENEE,TRACY,2020-12-23 07:12:30
118,CUBA,ALLEN,2020-12-23 07:12:30
119,WARREN,JACKMAN,2020-12-23 07:12:30
120,PENELOPE,MONROE,2020-12-23 07:12:30
121,LIZA,BERGMAN,2020-12-23 07:12:30
122,SALMA,NOLTE,2020-12-23 07:12:30
123,JULIANNE,DENCH,2020-12-23 07:12:30
124,SCARLETT,BENING,2020-12-23 07:12:30
125,ALBERT,NOLTE,2020-12-23 07:12:30
126,FRANCES,TOMEI,2020-12-23 07:12:30
127,KEVIN,GARLAND,2020-12-23 07:12:30
128,CATE,MCQUEEN,2020-12-23 07:12:30
129,DARYL,CRAWFORD,2020-12-23 07:12:30
130,GRETA,KEITEL,2020-12-23 07:12:30
131,JANE,JACKMAN,2020-12-23 07:12:30
