city_id,city,country_id,last_update
1,A Corua (La Corua),87,2020-12-23 07:12:14
2,Abha,82,2020-12-23 07:12:14
3,Abu Dhabi,101,2020-12-23 07:12:14
4,Acua,60,2020-12-23 07:12:14
5,Adana,97,2020-12-23 07:12:14
6,Addis Abeba,31,2020-12-23 07:12:14
7,Aden,107,2020-12-23 07:12:14
8,Adoni,44,2020-12-23 07:12:14
9,Ahmadnagar,44,2020-12-23 07:12:14
10,Akishima,50,2020-12-23 07:12:14
11,Akron,103,2020-12-23 07:12:14
12,al-Ayn,101,2020-12-23 07:12:14
13,al-Hawiya,82,2020-12-23 07:12:14
14,al-Manama,11,2020-12-23 07:12:14
15,al-Qadarif,89,2020-12-23 07:12:14
16,al-Qatif,82,2020-12-23 07:12:14
17,Alessandria,49,2020-12-23 07:12:14
18,Allappuzha (Alleppey),44,2020-12-23 07:12:14
19,Allende,60,2020-12-23 07:12:14
20,Almirante Brown,6,2020-12-23 07:12:14
21,Alvorada,15,2020-12-23 07:12:14
22,Ambattur,44,2020-12-23 07:12:14
23,Amersfoort,67,2020-12-23 07:12:14
24,Amroha,44,2020-12-23 07:12:14
25,Angra dos Reis,15,2020-12-23 07:12:14
26,Anpolis,15,2020-12-23 07:12:14
27,Antofagasta,22,2020-12-23 07:12:14
28,Aparecida de Goinia,15,2020-12-23 07:12:14
29,Apeldoorn,67,2020-12-23 07:12:14
30,Araatuba,15,2020-12-23 07:12:14
31,Arak,46,2020-12-23 07:12:14
32,Arecibo,77,2020-12-23 07:12:14
33,Arlington,103,2020-12-23 07:12:14
34,Ashdod,48,2020-12-23 07:12:14
35,Ashgabat,98,2020-12-23 07:12:14
36,Ashqelon,48,2020-12-23 07:12:14
37,Asuncin,73,2020-12-23 07:12:14
38,Athenai,39,2020-12-23 07:12:14
39,Atinsk,80,2020-12-23 07:12:14
40,Atlixco,60,2020-12-23 07:12:14
41,Augusta-Richmond County,103,2020-12-23 07:12:14
42,Aurora,103,2020-12-23 07:12:14
43,Avellaneda,6,2020-12-23 07:12:14
44,Bag,15,2020-12-23 07:12:14
45,Baha Blanca,6,2020-12-23 07:12:14
46,Baicheng,23,2020-12-23 07:12:14
47,Baiyin,23,2020-12-23 07:12:14
48,Baku,10,2020-12-23 07:12:14
49,Balaiha,80,2020-12-23 07:12:14
50,Balikesir,97,2020-12-23 07:12:14
51,Balurghat,44,2020-12-23 07:12:14
52,Bamenda,19,2020-12-23 07:12:14
53,Bandar Seri Begawan,16,2020-12-23 07:12:14
54,Banjul,37,2020-12-23 07:12:14
55,Barcelona,104,2020-12-23 07:12:14
56,Basel,91,2020-12-23 07:12:14
57,Bat Yam,48,2020-12-23 07:12:14
58,Batman,97,2020-12-23 07:12:14
