actor_id,film_id,last_update
1,1,2020-12-23 07:13:43
1,23,2020-12-23 07:13:43
1,25,2020-12-23 07:13:43
1,106,2020-12-23 07:13:43
1,140,2020-12-23 07:13:43
1,166,2020-12-23 07:13:43
1,277,2020-12-23 07:13:43
1,361,2020-12-23 07:13:43
1,438,2020-12-23 07:13:43
1,499,2020-12-23 07:13:43
1,506,2020-12-23 07:13:43
1,509,2020-12-23 07:13:43
1,605,2020-12-23 07:13:43
1,635,2020-12-23 07:13:43
1,749,2020-12-23 07:13:43
1,832,2020-12-23 07:13:43
1,939,2020-12-23 07:13:43
1,970,2020-12-23 07:13:43
1,980,2020-12-23 07:13:43
2,3,2020-12-23 07:13:43
2,31,2020-12-23 07:13:43
2,47,2020-12-23 07:13:43
2,105,2020-12-23 07:13:44
2,132,2020-12-23 07:13:44
2,145,2020-12-23 07:13:44
2,226,2020-12-23 07:13:44
2,249,2020-12-23 07:13:44
2,314,2020-12-23 07:13:44
2,321,2020-12-23 07:13:44
2,357,2020-12-23 07:13:44
2,369,2020-12-23 07:13:44
2,399,2020-12-23 07:13:44
2,458,2020-12-23 07:13:44
2,481,2020-12-23 07:13:44
2,485,2020-12-23 07:13:44
2,518,2020-12-23 07:13:44
2,540,2020-12-23 07:13:44
2,550,2020-12-23 07:13:44
2,555,2020-12-23 07:13:44
2,561,2020-12-23 07:13:44
2,742,2020-12-23 07:13:44
2,754,2020-12-23 07:13:44
2,811,2020-12-23 07:13:44
2,958,2020-12-23 07:13:44
3,17,2020-12-23 07:13:44
3,40,2020-12-23 07:13:44
3,42,2020-12-23 07:13:44
3,87,2020-12-23 07:13:44
3,111,2020-12-23 07:13:44
3,185,2020-12-23 07:13:44
3,289,2020-12-23 07:13:44
3,329,2020-12-23 07:13:44
3,336,2020-12-23 07:13:44
3,341,2020-12-23 07:13:44
3,393,2020-12-23 07:13:44
3,441,2020-12-23 07:13:44
3,453,2020-12-23 07:13:44
3,480,2020-12-23 07:13:44
3,539,2020-12-23 07:13:44
3,618,2020-12-23 07:13:44
3,685,2020-12-23 07:13:44
3,827,2020-12-23 07:13:44
3,966,2020-12-23 07:13:44
3,967,2020-12-23 07:13:44
3,971,2020-12-23 07:13:44
3,996,2020-12-23 07:13:44
4,23,2020-12-23 07:13:44
4,25,2020-12-23 07:13:44
4,56,2020-12-23 07:13:44
4,62,2020-12-23 07:13:44
4,79,2020-12-23 07:13:44
4,87,2020-12-23 07:13:44
4,355,2020-12-23 07:13:44
4,379,2020-12-23 07:13:44
4,398,2020-12-23 07:13:44
4,463,2020-12-23 07:13:44
4,490,2020-12-23 07:13:44
4,616,2020-12-23 07:13:44
4,635,2020-12-23 07:13:44
4,691,2020-12-23 07:13:44
4,712,2020-12-23 07:13:44
4,714,2020-12-23 07:13:44
4,721,2020-12-23 07:13:44
4,798,2020-12-23 07:13:44
4,832,2020-12-23 07:13:44
4,858,2020-12-23 07:13:44
4,909,2020-12-23 07:13:44
4,924,2020-12-23 07:13:44
5,19,2020-12-23 07:13:44
5,54,2020-12-23 07:13:44
5,85,2020-12-23 07:13:45
5,146,2020-12-23 07:13:45
5,171,2020-12-23 07:13:45
5,172,2020-12-23 07:13:45
5,202,2020-12-23 07:13:45
5,203,2020-12-23 07:13:45
5,286,2020-12-23 07:13:45
5,288,2020-12-23 07:13:45
5,316,2020-12-23 07:13:45
5,340,2020-12-23 07:13:45
5,369,2020-12-23 07:13:45
5,375,2020-12-23 07:13:45
5,383,2020-12-23 07:13:45
5,392,2020-12-23 07:13:45
5,411,2020-12-23 07:13:45
5,503,2020-12-23 07:13:45
5,535,2020-12-23 07:13:45
5,571,2020-12-23 07:13:45
5,650,2020-12-23 07:13:45
5,665,2020-12-23 07:13:45
5,687,2020-12-23 07:13:45
5,730,2020-12-23 07:13:45
5,732,2020-12-23 07:13:45
5,811,2020-12-23 07:13:45
5,817,2020-12-23 07:13:45
5,841,2020-12-23 07:13:45
5,865,2020-12-23 07:13:45
6,29,2020-12-23 07:13:45
6,53,2020-12-23 07:13:45
6,60,2020-12-23 07:13:45
6,70,2020-12-23 07:13:45
6,112,2020-12-23 07:13:45
6,164,2020-12-23 07:13:45
6,165,2020-12-23 07:13:45
6,193,2020-12-23 07:13:45
6,256,2020-12-23 07:13:45
6,451,2020-12-23 07:13:45
6,503,2020-12-23 07:13:45
6,509,2020-12-23 07:13:45
6,517,2020-12-23 07:13:45
6,519,2020-12-23 07:13:45
6,605,2020-12-23 07:13:45
6,692,2020-12-23 07:13:45
6,826,2020-12-23 07:13:45
6,892,2020-12-23 07:13:45
6,902,2020-12-23 07:13:45
6,994,2020-12-23 07:13:45
7,25,2020-12-23 07:13:45
7,27,2020-12-23 07:13:45
7,35,2020-12-23 07:13:45
7,67,2020-12-23 07:13:45
7,96,2020-12-23 07:13:45
7,170,2020-12-23 07:13:45
7,173,2020-12-23 07:13:45
7,217,2020-12-23 07:13:45
7,218,2020-12-23 07:13:45
7,225,2020-12-23 07:13:45
7,292,2020-12-23 07:13:45
7,351,2020-12-23 07:13:45
7,414,2020-12-23 07:13:45
7,463,2020-12-23 07:13:45
7,554,2020-12-23 07:13:45
7,618,2020-12-23 07:13:45
7,633,2020-12-23 07:13:45
7,637,2020-12-23 07:13:45
7,691,2020-12-23 07:13:45
7,758,2020-12-23 07:13:45
7,766,2020-12-23 07:13:45
7,770,2020-12-23 07:13:46
7,805,2020-12-23 07:13:46
7,806,2020-12-23 07:13:46
7,846,2020-12-23 07:13:46
7,900,2020-12-23 07:13:46
7,901,2020-12-23 07:13:46
7,910,2020-12-23 07:13:46
7,957,2020-12-23 07:13:46
7,959,2020-12-23 07:13:46
8,47,2020-12-23 07:13:46
8,115,2020-12-23 07:13:46
8,158,2020-12-23 07:13:46
8,179,2020-12-23 07:13:46
8,195,2020-12-23 07:13:46
8,205,2020-12-23 07:13:46
8,255,2020-12-23 07:13:46
8,263,2020-12-23 07:13:46
8,321,2020-12-23 07:13:46
8,396,2020-12-23 07:13:46
8,458,2020-12-23 07:13:46
8,523,2020-12-23 07:13:46
8,532,2020-12-23 07:13:46
8,554,2020-12-23 07:13:46
8,752,2020-12-23 07:13:46
8,769,2020-12-23 07:13:46
8,771,2020-12-23 07:13:46
8,859,2020-12-23 07:13:46
8,895,2020-12-23 07:13:46
8,936,2020-12-23 07:13:46
9,30,2020-12-23 07:13:46
9,74,2020-12-23 07:13:46
9,147,2020-12-23 07:13:46
9,148,2020-12-23 07:13:46
9,191,2020-12-23 07:13:46
9,200,2020-12-23 07:13:46
9,204,2020-12-23 07:13:46
9,434,2020-12-23 07:13:46
9,510,2020-12-23 07:13:46
9,514,2020-12-23 07:13:46
9,552,2020-12-23 07:13:46
9,650,2020-12-23 07:13:46
9,671,2020-12-23 07:13:46
9,697,2020-12-23 07:13:46
9,722,2020-12-23 07:13:46
9,752,2020-12-23 07:13:46
9,811,2020-12-23 07:13:46
9,815,2020-12-23 07:13:46
9,865,2020-12-23 07:13:46
9,873,2020-12-23 07:13:46
9,889,2020-12-23 07:13:46
9,903,2020-12-23 07:13:46
9,926,2020-12-23 07:13:46
9,964,2020-12-23 07:13:46
9,974,2020-12-23 07:13:46
10,1,2020-12-23 07:13:46
10,9,2020-12-23 07:13:46
10,191,2020-12-23 07:13:46
10,236,2020-12-23 07:13:46
10,251,2020-12-23 07:13:46
10,366,2020-12-23 07:13:46
10,477,2020-12-23 07:13:46
10,480,2020-12-23 07:13:46
10,522,2020-12-23 07:13:46
10,530,2020-12-23 07:13:46
10,587,2020-12-23 07:13:46
10,694,2020-12-23 07:13:46
10,703,2020-12-23 07:13:46
10,716,2020-12-23 07:13:46
10,782,2020-12-23 07:13:46
10,914,2020-12-23 07:13:47
10,929,2020-12-23 07:13:47
10,930,2020-12-23 07:13:47
10,964,2020-12-23 07:13:47
10,966,2020-12-23 07:13:47
10,980,2020-12-23 07:13:47
10,983,2020-12-23 07:13:47
11,118,2020-12-23 07:13:47
11,205,2020-12-23 07:13:47
11,281,2020-12-23 07:13:47
11,283,2020-12-23 07:13:47
11,348,2020-12-23 07:13:47
11,364,2020-12-23 07:13:47
11,395,2020-12-23 07:13:47
11,429,2020-12-23 07:13:47
11,433,2020-12-23 07:13:47
11,453,2020-12-23 07:13:47
11,485,2020-12-23 07:13:47
11,532,2020-12-23 07:13:47
11,567,2020-12-23 07:13:47
11,587,2020-12-23 07:13:47
11,597,2020-12-23 07:13:47
11,636,2020-12-23 07:13:47
11,709,2020-12-23 07:13:47
11,850,2020-12-23 07:13:47
11,854,2020-12-23 07:13:47
11,888,2020-12-23 07:13:47
11,896,2020-12-23 07:13:47
11,928,2020-12-23 07:13:47
11,938,2020-12-23 07:13:47
11,969,2020-12-23 07:13:47
11,988,2020-12-23 07:13:47
12,16,2020-12-23 07:13:47
12,17,2020-12-23 07:13:47
12,34,2020-12-23 07:13:47
12,37,2020-12-23 07:13:47
12,91,2020-12-23 07:13:47
12,92,2020-12-23 07:13:47
12,107,2020-12-23 07:13:47
12,155,2020-12-23 07:13:47
12,177,2020-12-23 07:13:47
12,208,2020-12-23 07:13:47
12,213,2020-12-23 07:13:47
12,216,2020-12-23 07:13:47
12,243,2020-12-23 07:13:47
12,344,2020-12-23 07:13:47
12,400,2020-12-23 07:13:47
12,416,2020-12-23 07:13:47
12,420,2020-12-23 07:13:47
12,457,2020-12-23 07:13:47
12,513,2020-12-23 07:13:47
12,540,2020-12-23 07:13:47
12,593,2020-12-23 07:13:47
12,631,2020-12-23 07:13:47
12,635,2020-12-23 07:13:47
12,672,2020-12-23 07:13:47
12,716,2020-12-23 07:13:47
12,728,2020-12-23 07:13:47
12,812,2020-12-23 07:13:47
12,838,2020-12-23 07:13:47
12,871,2020-12-23 07:13:47
