inventory_id,film_id,store_id,last_update
1,1,1,2020-12-23 07:12:45
2,1,1,2020-12-23 07:12:45
3,1,1,2020-12-23 07:12:45
4,1,1,2020-12-23 07:12:45
5,1,2,2020-12-23 07:12:45
6,1,2,2020-12-23 07:12:45
7,1,2,2020-12-23 07:12:45
8,1,2,2020-12-23 07:12:45
9,2,2,2020-12-23 07:12:45
10,2,2,2020-12-23 07:12:45
11,2,2,2020-12-23 07:12:45
12,3,2,2020-12-23 07:12:45
13,3,2,2020-12-23 07:12:45
14,3,2,2020-12-23 07:12:45
15,3,2,2020-12-23 07:12:45
16,4,1,2020-12-23 07:12:45
17,4,1,2020-12-23 07:12:45
18,4,1,2020-12-23 07:12:45
19,4,1,2020-12-23 07:12:45
20,4,2,2020-12-23 07:12:45
21,4,2,2020-12-23 07:12:45
22,4,2,2020-12-23 07:12:45
23,5,2,2020-12-23 07:12:45
24,5,2,2020-12-23 07:12:45
25,5,2,2020-12-23 07:12:45
26,6,1,2020-12-23 07:12:45
27,6,1,2020-12-23 07:12:45
28,6,1,2020-12-23 07:12:45
29,6,2,2020-12-23 07:12:45
30,6,2,2020-12-23 07:12:45
31,6,2,2020-12-23 07:12:45
32,7,1,2020-12-23 07:12:45
33,7,1,2020-12-23 07:12:45
34,7,2,2020-12-23 07:12:45
35,7,2,2020-12-23 07:12:45
36,7,2,2020-12-23 07:12:45
37,8,2,2020-12-23 07:12:45
38,8,2,2020-12-23 07:12:45
39,8,2,2020-12-23 07:12:45
40,8,2,2020-12-23 07:12:45
41,9,1,2020-12-23 07:12:45
42,9,1,2020-12-23 07:12:45
43,9,1,2020-12-23 07:12:45
44,9,2,2020-12-23 07:12:45
45,9,2,2020-12-23 07:12:45
46,10,1,2020-12-23 07:12:45
47,10,1,2020-12-23 07:12:45
48,10,1,2020-12-23 07:12:45
49,10,1,2020-12-23 07:12:45
50,10,2,2020-12-23 07:12:45
51,10,2,2020-12-23 07:12:45
52,10,2,2020-12-23 07:12:45
53,11,1,2020-12-23 07:12:45
54,11,1,2020-12-23 07:12:45
55,11,1,2020-12-23 07:12:45
56,11,1,2020-12-23 07:12:45
57,11,2,2020-12-23 07:12:45
58,11,2,2020-12-23 07:12:45
59,11,2,2020-12-23 07:12:45
60,12,1,2020-12-23 07:12:45
61,12,1,2020-12-23 07:12:45
62,12,1,2020-12-23 07:12:45
63,12,2,2020-12-23 07:12:45
64,12,2,2020-12-23 07:12:45
65,12,2,2020-12-23 07:12:45
66,12,2,2020-12-23 07:12:45
67,13,2,2020-12-23 07:12:45
68,13,2,2020-12-23 07:12:46
69,13,2,2020-12-23 07:12:46
70,13,2,2020-12-23 07:12:46
71,15,1,2020-12-23 07:12:46
72,15,1,2020-12-23 07:12:46
73,15,2,2020-12-23 07:12:46
74,15,2,2020-12-23 07:12:46
75,15,2,2020-12-23 07:12:46
76,15,2,2020-12-23 07:12:46
77,16,1,2020-12-23 07:12:46
78,16,1,2020-12-23 07:12:46
79,16,2,2020-12-23 07:12:46
80,16,2,2020-12-23 07:12:46
81,17,1,2020-12-23 07:12:46
82,17,1,2020-12-23 07:12:46
83,17,1,2020-12-23 07:12:46
84,17,2,2020-12-23 07:12:46
85,17,2,2020-12-23 07:12:46
86,17,2,2020-12-23 07:12:46
87,18,1,2020-12-23 07:12:46
88,18,1,2020-12-23 07:12:46
89,18,1,2020-12-23 07:12:46
90,18,2,2020-12-23 07:12:46
91,18,2,2020-12-23 07:12:46
92,18,2,2020-12-23 07:12:46
93,19,1,2020-12-23 07:12:46
94,19,1,2020-12-23 07:12:46
95,19,1,2020-12-23 07:12:46
96,19,1,2020-12-23 07:12:46
97,19,2,2020-12-23 07:12:46
98,19,2,2020-12-23 07:12:46
99,20,1,2020-12-23 07:12:46
100,20,1,2020-12-23 07:12:46
101,20,1,2020-12-23 07:12:46
102,21,1,2020-12-23 07:12:46
103,21,1,2020-12-23 07:12:46
104,21,2,2020-12-23 07:12:46
105,21,2,2020-12-23 07:12:46
106,21,2,2020-12-23 07:12:46
107,21,2,2020-12-23 07:12:46
108,22,1,2020-12-23 07:12:46
109,22,1,2020-12-23 07:12:46
110,22,1,2020-12-23 07:12:46
111,22,1,2020-12-23 07:12:46
112,22,2,2020-12-23 07:12:46
113,22,2,2020-12-23 07:12:46
114,22,2,2020-12-23 07:12:46
115,23,1,2020-12-23 07:12:46
116,23,1,2020-12-23 07:12:46
117,23,1,2020-12-23 07:12:46
118,23,2,2020-12-23 07:12:46
119,23,2,2020-12-23 07:12:46
120,24,1,2020-12-23 07:12:46
121,24,1,2020-12-23 07:12:46
122,24,1,2020-12-23 07:12:46
123,24,1,2020-12-23 07:12:46
124,25,1,2020-12-23 07:12:46
125,25,1,2020-12-23 07:12:46
126,25,1,2020-12-23 07:12:46
127,25,1,2020-12-23 07:12:46
128,25,2,2020-12-23 07:12:46
129,25,2,2020-12-23 07:12:46
130,26,1,2020-12-23 07:12:46
131,26,1,2020-12-23 07:12:46
132,26,2,2020-12-23 07:12:46
133,26,2,2020-12-23 07:12:46
134,26,2,2020-12-23 07:12:46
135,27,1,2020-12-23 07:12:46
136,27,1,2020-12-23 07:12:46
137,27,1,2020-12-23 07:12:46
138,27,1,2020-12-23 07:12:46
139,28,1,2020-12-23 07:12:46
140,28,1,2020-12-23 07:12:46
141,28,1,2020-12-23 07:12:47
142,29,1,2020-12-23 07:12:47
143,29,1,2020-12-23 07:12:47
144,30,1,2020-12-23 07:12:47
145,30,1,2020-12-23 07:12:47
146,31,1,2020-12-23 07:12:47
147,31,1,2020-12-23 07:12:47
148,31,1,2020-12-23 07:12:47
149,31,1,2020-12-23 07:12:47
150,31,2,2020-12-23 07:12:47
151,31,2,2020-12-23 07:12:47
152,31,2,2020-12-23 07:12:47
153,31,2,2020-12-23 07:12:47
154,32,2,2020-12-23 07:12:47
155,32,2,2020-12-23 07:12:47
156,34,2,2020-12-23 07:12:47
157,34,2,2020-12-23 07:12:47
158,34,2,2020-12-23 07:12:47
159,34,2,2020-12-23 07:12:47
160,35,1,2020-12-23 07:12:47
161,35,1,2020-12-23 07:12:47
162,35,1,2020-12-23 07:12:47
163,35,1,2020-12-23 07:12:47
164,35,2,2020-12-23 07:12:47
165,35,2,2020-12-23 07:12:47
166,35,2,2020-12-23 07:12:47
167,37,1,2020-12-23 07:12:47
168,37,1,2020-12-23 07:12:47
169,37,1,2020-12-23 07:12:47
170,37,1,2020-12-23 07:12:47
171,37,2,2020-12-23 07:12:47
172,37,2,2020-12-23 07:12:47
173,37,2,2020-12-23 07:12:47
174,39,1,2020-12-23 07:12:47
175,39,1,2020-12-23 07:12:47
176,39,1,2020-12-23 07:12:47
177,39,2,2020-12-23 07:12:47
178,39,2,2020-12-23 07:12:47
179,39,2,2020-12-23 07:12:47
180,39,2,2020-12-23 07:12:47
181,40,2,2020-12-23 07:12:47
182,40,2,2020-12-23 07:12:47
183,40,2,2020-12-23 07:12:47
184,40,2,2020-12-23 07:12:47
185,42,2,2020-12-23 07:12:47
186,42,2,2020-12-23 07:12:47
187,42,2,2020-12-23 07:12:47
188,42,2,2020-12-23 07:12:47
189,43,1,2020-12-23 07:12:47
190,43,1,2020-12-23 07:12:47
191,43,1,2020-12-23 07:12:47
192,43,2,2020-12-23 07:12:47
193,43,2,2020-12-23 07:12:47
194,43,2,2020-12-23 07:12:47
195,43,2,2020-12-23 07:12:47
196,44,1,2020-12-23 07:12:47
197,44,1,2020-12-23 07:12:47
198,44,2,2020-12-23 07:12:47
199,44,2,2020-12-23 07:12:47
200,44,2,2020-12-23 07:12:47
201,45,1,2020-12-23 07:12:47
202,45,1,2020-12-23 07:12:47
203,45,1,2020-12-23 07:12:47
204,45,1,2020-12-23 07:12:47
205,45,2,2020-12-23 07:12:47
206,45,2,2020-12-23 07:12:47
207,46,2,2020-12-23 07:12:47
208,46,2,2020-12-23 07:12:47
209,46,2,2020-12-23 07:12:47
210,47,2,2020-12-23 07:12:47
211,47,2,2020-12-23 07:12:47
212,48,1,2020-12-23 07:12:47
213,48,1,2020-12-23 07:12:47
214,48,2,2020-12-23 07:12:47
215,48,2,2020-12-23 07:12:47
216,49,1,2020-12-23 07:12:47
217,49,1,2020-12-23 07:12:47
218,49,1,2020-12-23 07:12:47
219,49,2,2020-12-23 07:12:47
220,49,2,2020-12-23 07:12:47
221,49,2,2020-12-23 07:12:47
222,50,1,2020-12-23 07:12:48
223,50,1,2020-12-23 07:12:48
224,50,1,2020-12-23 07:12:48
225,50,2,2020-12-23 07:12:48
226,50,2,2020-12-23 07:12:48
227,51,1,2020-12-23 07:12:48
228,51,1,2020-12-23 07:12:48
229,51,2,2020-12-23 07:12:48
230,51,2,2020-12-23 07:12:48
231,51,2,2020-12-23 07:12:48
232,51,2,2020-12-23 07:12:48
233,52,2,2020-12-23 07:12:48
234,52,2,2020-12-23 07:12:48
235,53,1,2020-12-23 07:12:48
236,53,1,2020-12-23 07:12:48
237,54,1,2020-12-23 07:12:48
238,54,1,2020-12-23 07:12:48
239,54,1,2020-12-23 07:12:48
240,54,2,2020-12-23 07:12:48
241,54,2,2020-12-23 07:12:48
242,55,1,2020-12-23 07:12:48
243,55,1,2020-12-23 07:12:48
244,55,1,2020-12-23 07:12:48
245,55,1,2020-12-23 07:12:48
246,55,2,2020-12-23 07:12:48
247,55,2,2020-12-23 07:12:48
248,56,1,2020-12-23 07:12:48
249,56,1,2020-12-23 07:12:48
250,56,1,2020-12-23 07:12:48
251,56,2,2020-12-23 07:12:48
252,56,2,2020-12-23 07:12:48
253,57,1,2020-12-23 07:12:48
254,57,1,2020-12-23 07:12:48
255,57,1,2020-12-23 07:12:48
256,57,1,2020-12-23 07:12:48
257,57,2,2020-12-23 07:12:48
258,57,2,2020-12-23 07:12:48
259,57,2,2020-12-23 07:12:48
260,58,2,2020-12-23 07:12:48
261,58,2,2020-12-23 07:12:48
262,58,2,2020-12-23 07:12:48
263,58,2,2020-12-23 07:12:48
264,59,1,2020-12-23 07:12:48
265,59,1,2020-12-23 07:12:48
266,59,1,2020-12-23 07:12:48
267,59,2,2020-12-23 07:12:48
268,59,2,2020-12-23 07:12:48
269,60,1,2020-12-23 07:12:48
270,60,1,2020-12-23 07:12:48
271,60,1,2020-12-23 07:12:48
272,61,1,2020-12-23 07:12:48
273,61,1,2020-12-23 07:12:48
274,61,1,2020-12-23 07:12:48
275,61,1,2020-12-23 07:12:48
276,61,2,2020-12-23 07:12:48
277,61,2,2020-12-23 07:12:48
278,62,2,2020-12-23 07:12:48
279,62,2,2020-12-23 07:12:48
280,63,1,2020-12-23 07:12:48
281,63,1,2020-12-23 07:12:48
282,63,2,2020-12-23 07:12:48
283,63,2,2020-12-23 07:12:48
284,64,2,2020-12-23 07:12:48
285,64,2,2020-12-23 07:12:48
286,64,2,2020-12-23 07:12:48
287,65,2,2020-12-23 07:12:48
288,65,2,2020-12-23 07:12:48
289,65,2,2020-12-23 07:12:48
290,65,2,2020-12-23 07:12:48
291,66,1,2020-12-23 07:12:48
292,66,1,2020-12-23 07:12:48
293,66,1,2020-12-23 07:12:48
294,67,1,2020-12-23 07:12:48
295,67,1,2020-12-23 07:12:48
296,67,2,2020-12-23 07:12:48
297,67,2,2020-12-23 07:12:48
298,67,2,2020-12-23 07:12:48
299,67,2,2020-12-23 07:12:48
300,68,1,2020-12-23 07:12:48
301,68,1,2020-12-23 07:12:49
302,68,2,2020-12-23 07:12:49
303,68,2,2020-12-23 07:12:49
304,69,1,2020-12-23 07:12:49
305,69,1,2020-12-23 07:12:49
306,69,1,2020-12-23 07:12:49
307,69,1,2020-12-23 07:12:49
308,69,2,2020-12-23 07:12:49
309,69,2,2020-12-23 07:12:49
310,69,2,2020-12-23 07:12:49
311,69,2,2020-12-23 07:12:49
312,70,1,2020-12-23 07:12:49
313,70,1,2020-12-23 07:12:49
314,70,2,2020-12-23 07:12:49
315,70,2,2020-12-23 07:12:49
316,71,2,2020-12-23 07:12:49
317,71,2,2020-12-23 07:12:49
318,71,2,2020-12-23 07:12:49
319,71,2,2020-12-23 07:12:49
320,72,1,2020-12-23 07:12:49
321,72,1,2020-12-23 07:12:49
322,72,1,2020-12-23 07:12:49
323,72,1,2020-12-23 07:12:49
324,72,2,2020-12-23 07:12:49
325,72,2,2020-12-23 07:12:49
326,73,1,2020-12-23 07:12:49
327,73,1,2020-12-23 07:12:49
328,73,1,2020-12-23 07:12:49
329,73,1,2020-12-23 07:12:49
330,73,2,2020-12-23 07:12:49
331,73,2,2020-12-23 07:12:49
332,73,2,2020-12-23 07:12:49
333,73,2,2020-12-23 07:12:49
334,74,1,2020-12-23 07:12:49
335,74,1,2020-12-23 07:12:49
336,74,1,2020-12-23 07:12:49
337,74,2,2020-12-23 07:12:49
338,74,2,2020-12-23 07:12:49
339,75,2,2020-12-23 07:12:49
340,75,2,2020-12-23 07:12:49
341,75,2,2020-12-23 07:12:49
342,76,1,2020-12-23 07:12:49
343,76,1,2020-12-23 07:12:49
344,76,1,2020-12-23 07:12:49
345,77,1,2020-12-23 07:12:49
346,77,1,2020-12-23 07:12:49
347,77,1,2020-12-23 07:12:49
348,77,1,2020-12-23 07:12:49
349,77,2,2020-12-23 07:12:49
350,77,2,2020-12-23 07:12:49
351,78,1,2020-12-23 07:12:49
352,78,1,2020-12-23 07:12:49
353,78,1,2020-12-23 07:12:49
354,78,2,2020-12-23 07:12:49
355,78,2,2020-12-23 07:12:49
356,78,2,2020-12-23 07:12:49
357,78,2,2020-12-23 07:12:49
358,79,1,2020-12-23 07:12:49
359,79,1,2020-12-23 07:12:49
360,79,1,2020-12-23 07:12:49
361,79,2,2020-12-23 07:12:49
362,79,2,2020-12-23 07:12:49
363,79,2,2020-12-23 07:12:49
364,80,1,2020-12-23 07:12:49
365,80,1,2020-12-23 07:12:49
366,80,1,2020-12-23 07:12:49
367,80,1,2020-12-23 07:12:49
368,81,1,2020-12-23 07:12:49
369,81,1,2020-12-23 07:12:49
370,81,1,2020-12-23 07:12:49
